Model of the helicopter,Ordered/owned by(gdp),Date of order,cost(mil$),Quantities,Successfull procurement
AW009,Poland,2016,3.9,1,
AW119T,USA,2008,2.5,1,
AW119T,USA,2012,2.5,2,
AW119T,USA,2021,2.5,1,
AW119T,Israel,2021,2.5,6,
AW119T,Italy,2021,2.5,1,
AW119T,USA,2021,2.5,19,
AW119T,USA,2022,2.5,3,
AW119T,USA,2023,2.5,16,
AW119T,USA,2024,2.5,2,
AW101 610,Algeria,2008,27,5,
AW101 610,Algeria,2008,27,1,
AW101 611,Italy,2014,27,12,
AW101 612,Norway,2016,30,16,
AW101 614,Poland,2023,27,4,
AW101 640,Saudi,2013,27,2,
AW101 641,India,2010,28,12,
AW101 642 (VIP),Algeria,2013,28,2,
AW101 VIP,Turkmesistan,2010,55,2,
AW101 VIP,Indonesia,2017,55,1,
AW101 VIP,Nigeria,2014,55,2,
Mi 171A2,Bangladesh,2021,22,1,
'new medium helicopters',England,2026,50,20,
AW101 (VIP),Italy,2010,40,19,
AW101,Indonesia,2017,27,2,
