contry - code,country by name,GDP(in $Billions) 2025-2026,defence spending 2025-2026 (in billions)
US,united states,30615.743,848.3
UK,united kingdom,395.878,83.76
FR,france,3361.557,60.82
AU,australia,1829.508,40
ES,spain,1891.371,32.8
CH,switzerland,1002.666,5.9
DE,germany,5013.574,101.5
NZ,new zealand,262.909,3.1
IT,italy,2543.677,38.6
CN,china,19398.577,285
GR,greece,282.019,6.6
NO,norway,517.102,7.7
BR,brazil,225.691,22.4
JP,japan,4279.828,53.2
SI,singapore,574.185,16.2
NG,nigeria,285.003,3.2
AR,argentina,683.371,4.7
AE,the united arab emirates,569.097,21.3
