Model of the helicopter,GDP billions $ of the owner,Successfull procurement,Date of order,cost(mil$),Still operatable?
AW009,2712,1,2016,3.9,1
AW119T,2260,1,2008,2.5,1
AW119T,30600,1,2012,2.5,1
AW119T,2712,1,2012,2.5,1
AW119T,610,1,2021,2.5,1
AW119T,610,1,2021,15,1
AW119T,2712,1,2021,2.5,1
AW119T,30600,1,2021,47.5,1
AW119T,30600,1,2022,7.5,1
AW119T,30600,1,2023,40,1
AW119T,30600,1,2024,5,1
AW101 610,285,1,2008,125,1
AW101 610,285,1,2008,Unknown,0
AWW101 611,2712,1,2014,360,1
AW101 612,510,1,2016,480,1
AW101 614,1000,1,2023,100,1
AW101 640,1320,1,2013,50,1
AW101 641,4130,1,2010,7205,1
AW101 641 (VIP),4130,1,2010,655,?
AW101 642 (VIP),285,1,2013,56,1
AW101 VIP,64,1,2010,50,1
AW101 VIP,1440,1,2017,Unknown,0
AW101 VIP,334,1,2014,Unknown,0
AW101 VIP,334,1,2014,Unknown,1
Mi 171A2,519,0,2021,22,0
'new medium helicopters',4250,0,2026,1000,0
AW101 (VIP),4130,0,2010,780,0
AW101,1440,0,2017,54,0
